<<<<<<< HEAD
# 以下のセルをコピーしてメモ帳などに貼り付け、TSVファイルとしてください。				
TestTitle	テスト問題サンプル			
TestSubTitle	日本語テスト第３週			
				
#	コメント			
Q(1)	QS	Meeting をカタカナで表記しなさい。		
Q(1)	S(1)	ミーティング		# 正解
Q(1)	S(2)	メーティング		
Q(1)	S(3)	ミッティング		
Q(1)	S(4)	メティング		
Q(1)	S(5)	ミティング		
Q(1)	S(6)	ミーチング		
Q(1)	KS	S(1)	10	
				
Q(2)	QS	computer をカタカナで表記しなさい。		
Q(2)	S(1)	コムピュータ		
Q(2)	S(2)	コムピューター		
Q(2)	S(3)	コンプータ		
Q(2)	S(4)	コンピュータ		
Q(2)	S(5)	コムピューター		
Q(2)	KS	S(4)	5	
				
Q(3)	QS	「重複」をひらがなで解答欄に表記しなさい。		
Q(3)	S(1)	おもふく		
Q(3)	S(2)	じゅうふく		
Q(3)	S(3)	ちょうふく		
Q(3)	KS	S(3)	5	
				
Q(4)	QS	以下の説明で適切なものを選択しなさい。		
Q(4)	S(1)	昆虫は６本足である。		
Q(4)	S(2)	爬虫類は全て４本足である。		
Q(4)	S(3)	哺乳類は全て２本足である。		
Q(4)	S(4)	鳥類は４本足である。		
Q(4)	S(5)	男性は３本足である。		
Q(4)	KS	S(1)	20	
				
End				
				
=======
# 以下のセルをコピーしてメモ帳などに貼り付け、TSVファイルとしてください。				
TestTitle	テスト問題サンプル			
TestSubTitle	日本語テスト第３週			
				
#	コメント			
Q(1)	QS	Meeting をカタカナで表記しなさい。		
Q(1)	S(1)	ミーティング		# 正解
Q(1)	S(2)	メーティング		
Q(1)	S(3)	ミッティング		
Q(1)	S(4)	メティング		
Q(1)	S(5)	ミティング		
Q(1)	S(6)	ミーチング		
Q(1)	KS	S(1)	10	
				
Q(2)	QS	computer をカタカナで表記しなさい。		
Q(2)	S(1)	コムピュータ		
Q(2)	S(2)	コムピューター		
Q(2)	S(3)	コンプータ		
Q(2)	S(4)	コンピュータ		
Q(2)	S(5)	コムピューター		
Q(2)	KS	S(4)	5	
				
Q(3)	QS	「重複」をひらがなで解答欄に表記しなさい。		
Q(3)	S(1)	おもふく		
Q(3)	S(2)	じゅうふく		
Q(3)	S(3)	ちょうふく		
Q(3)	KS	S(3)	5	
				
Q(4)	QS	以下の説明で適切なものを選択しなさい。		
Q(4)	S(1)	昆虫は６本足である。		
Q(4)	S(2)	爬虫類は全て４本足である。		
Q(4)	S(3)	哺乳類は全て２本足である。		
Q(4)	S(4)	鳥類は４本足である。		
Q(4)	S(5)	男性は３本足である。		
Q(4)	KS	S(1)	20	
				
End				
				
>>>>>>> d28503c2bf257349efd8930f962b09a1fc05927d
